county,population
Total,39071323
Los Angeles,10192374
San Diego,3275546
Orange,3165203
Riverside,2331040
San Bernardino,2127735
Santa Clara,1915407
Alameda,1619244
Sacramento,1489308
Contra Costa,1116385
Fresno,980980
Kern,884436
San Francisco,862470
Ventura,852964
San Mateo,762327
San Joaquin,728509
Stanislaus,537957
Sonoma,500487
Tulare,465013
Santa Barbara,445444
Monterey,435658
Solano,429384
Placer,371558
San Luis Obispo,276142
Santa Cruz,274594
Merced,270156
Marin,261663
Butte,224301
Yolo,212747
Imperial,184760
El Dorado,182917
Shasta,178795
Madera,154982
Kings,149813
Napa,141625
Humboldt,134825
Nevada,97946
Sutter,97701
Mendocino,88379
Yuba,75621
Lake,65023
Tehama,63975
San Benito,57572
Tuolumne,54511
Calaveras,44881
Siskiyou,44563
Amador,37302
Lassen,30988
Glenn,29000
Del Norte,27089
Colusa,22312
Plumas,19675
Inyo,18697
Mariposa,18097
Mono,13762
Trinity,13583
Modoc,9566
Sierra,3166
Alpine,1165
