county,state,fips,code,flag,population
Los Angeles,California,6037,CA,smL,10039107
New York City,New York,36999,NY,mL,8336817
Cook,Illinois,17031,IL,mL,5150233
Harris,Texas,48201,TX,mL,4713325
Maricopa,Arizona,4013,AZ,mL,4485414
San Diego,California,6073,CA,sm,3338330
Orange,California,6059,CA,m,3175692
Miami-Dade,Florida,12086,FL,mL,2716940
Dallas,Texas,48113,TX,m,2635516
Riverside,California,6065,CA,m,2470546
Clark,Nevada,32003,NV,mL,2266715
King,Washington,53033,WA,CmL,2252782
San Bernardino,California,6071,CA,m,2180085
Tarrant,Texas,48439,TX,m,2102515
Bexar,Texas,48029,TX,m,2003554
Broward,Florida,12011,FL,m,1952778
Santa Clara,California,6085,CA,Bsm,1927852
Wayne,Michigan,26163,MI,CmL,1749343
Alameda,California,6001,CA,BSsm,1671329
Middlesex,Massachusetts,25017,MA,mL,1611699
Philadelphia,Pennsylvania,42101,PA,mL,1584064
Sacramento,California,6067,CA,m,1552058
Palm Beach,Florida,12099,FL,m,1496770
Suffolk,New York,36103,NY,m,1476601
Hillsborough,Florida,12057,FL,m,1471968
Orange,Florida,12095,FL,m,1393452
Nassau,New York,36059,NY,Cm,1356924
Franklin,Ohio,39049,OH,mL,1316756
Travis,Texas,48453,TX,m,1273954
Hennepin,Minnesota,27053,MN,CmL,1265843
Oakland,Michigan,26125,MI, ,1257584
Cuyahoga,Ohio,39035,OH, ,1235072
Allegheny,Pennsylvania,42003,PA, ,1216045
Salt Lake,Utah,49035,UT, L,1160437
Contra Costa,California,6013,CA,Bs,1153526
Fairfax,Virginia,51059,VA,sL,1147532
Wake,North Carolina,37183,NC, L,1111761
Mecklenburg,North Carolina,37119,NC, ,1110356
Fulton,Georgia,13121,GA, L,1063937
Montgomery,Maryland,24031,MD, L,1050688
Pima,Arizona,4019,AZ, ,1047279
Collin,Texas,48085,TX, ,1034730
Fresno,California,6019,CA, ,999101
St. Louis,Missouri,29189,MO, L,994205
Pinellas,Florida,12103,FL,s,974996
Honolulu,Hawaii,15003,HI,HSsL,974563
Westchester,New York,36119,NY, ,967506
Marion,Indiana,18097,IN, L,964582
Duval,Florida,12031,FL, ,957755
Milwaukee,Wisconsin,55079,WI, L,945726
Fairfield,Connecticut,9001,CT, L,943332
Shelby,Tennessee,47157,TN, L,937166
Gwinnett,Georgia,13135,GA, ,936250
Bergen,New Jersey,34003,NJ, L,932202
DuPage,Illinois,17043,IL, ,922921
Erie,New York,36029,NY, ,918702
Prince George's,Maryland,24033,MD, ,909327
Pierce,Washington,53053,WA, ,904980
Kern,California,6029,CA, ,900202
Hartford,Connecticut,9003,CT, ,891720
Denton,Texas,48121,TX, ,887207
Vancouver Island,British Columbia,0,BC,Ss,881685
San Francisco,California,6075,CA,Bs,881549
Macomb,Michigan,26099,MI, ,873972
Hidalgo,Texas,48215,TX, ,868707
New Haven,Connecticut,9009,CT, ,854757
Ventura,California,6111,CA, ,846006
El Paso,Texas,48141,TX, ,839238
Montgomery,Pennsylvania,42091,PA, ,830915
Worcester,Massachusetts,25027,MA, ,830622
Baltimore,Maryland,24005,MD, ,827370
Middlesex,New Jersey,34023,NJ, ,825062
Snohomish,Washington,53061,WA, ,822083
Hamilton,Ohio,39061,OH, ,817473
Multnomah,Oregon,41051,OR,sL,812855
Fort Bend,Texas,48157,TX, ,811688
Suffolk,Massachusetts,25025,MA, ,803907
Essex,New Jersey,34013,NJ, ,798975
Oklahoma,Oklahoma,40109,OK, L,797434
Essex,Massachusetts,25009,MA, ,789034
Lee,Florida,12071,FL, ,770577
Jefferson,Kentucky,21111,KY, L,766757
San Mateo,California,6081,CA,Bs,766573
San Joaquin,California,6077,CA, ,762148
Cobb,Georgia,13067,GA, ,760141
DeKalb,Georgia,13089,GA, ,759297
Monroe,New York,36055,NY, ,741770
Denver,Colorado,8031,CO, L,727211
Polk,Florida,12105,FL, ,724777
El Paso,Colorado,8041,CO, ,720403
Norfolk,Massachusetts,25021,MA, ,706775
District of Columbia,District of Columbia,11001,DC,SsL,705749
Jackson,Missouri,29095,MO, ,703011
Lake,Illinois,17097,IL, ,696535
Davidson,Tennessee,47037,TN, ,694144
Will,Illinois,17197,IL, ,690743
Bernalillo,New Mexico,35001,NM, L,679121
Hudson,New Jersey,34017,NJ, ,672391
Jefferson,Alabama,1073,AL, L,658573
Kent,Michigan,26081,MI, ,656955
Arapahoe,Colorado,8005,CO, ,656590
Tulsa,Oklahoma,40143,OK, ,651552
Providence,Rhode Island,44007,RI, L,638931
Utah,Utah,49049,UT, ,636235
Bucks,Pennsylvania,42017,PA, ,628270
Monmouth,New Jersey,34025,NJ, ,618795
Montgomery,Texas,48339,TX, ,607391
Ocean,New Jersey,34029,NJ, ,607186
Johnson,Kansas,20091,KS, L,602401
Brevard,Florida,12009,FL, ,601942
Washington,Oregon,41067,OR, ,601592
Baltimore city,Maryland,24510,MD, ,593490
Williamson,Texas,48491,TX, ,590551
Jefferson,Colorado,8059,CO, ,582881
Anne Arundel,Maryland,24003,MD, ,579234
Douglas,Nebraska,31055,NE, L,571327
Delaware,Pennsylvania,42045,PA, ,566747
Bristol,Massachusetts,25005,MA, ,565217
New Castle,Delaware,10003,DE, L,558753
Union,New Jersey,34039,NJ, ,556341
Pasco,Florida,12101,FL, ,553947
Volusia,Florida,12127,FL, ,553284
Stanislaus,California,6099,CA, ,550660
Ramsey,Minnesota,27123,MN, ,550321
Dane,Wisconsin,55025,WI, ,546695
Lancaster,Pennsylvania,42071,PA, ,545724
Summit,Ohio,39153,OH, ,541013
Guilford,North Carolina,37081,NC, ,537174
Kane,Illinois,17089,IL, ,532403
Montgomery,Ohio,39113,OH, ,531687
Chester,Pennsylvania,42029,PA, ,524989
Greenville,South Carolina,45045,SC, L,523542
Spokane,Washington,53063,WA, ,522798
Plymouth,Massachusetts,25023,MA, ,521202
Adams,Colorado,8001,CO, ,517421
Sedgwick,Kansas,20173,KS, ,516042
Camden,New Jersey,34007,NJ, ,506471
Passaic,New Jersey,34031,NJ, ,501826
Sonoma,California,6097,CA,Bs,494336
Morris,New Jersey,34027,NJ, ,491845
Polk,Iowa,19153,IA, L,490161
Clark,Washington,53011,WA, ,488241
Lake,Indiana,18089,IN, ,485493
Ada,Idaho,16001,ID, L,481587
Seminole,Florida,12117,FL, ,471826
Washoe,Nevada,32031,NV, ,471519
Prince William,Virginia,51153,VA, ,470335
Knox,Tennessee,47093,TN, ,470313
Hampden,Massachusetts,25013,MA, ,466372
Tulare,California,6107,CA, ,466195
Pinal,Arizona,4021,AZ, ,462789
Onondaga,New York,36067,NY, ,460528
Virginia Beach city,Virginia,51810,VA, ,449974
